,text
4457,New York at a standstill  
4458,"National Weather Service snow totals for DC:
National Zoo: 16 in
Georgetown: 14 in
Capitol: 16 in "
4459,"Flooding and winds could be worse than Hurricane Sandy: Wildwood, NJ's emergency management coordinator, reports Mary Wisniewski"
4460,Fire on the Jersey shore during the snowstorm 
4461,"A wedding in a snow storm is good luck, right? "
4462,"""We'll get through this storm"": NJ Governor Christie  "
4463,NYC bridges and tunnels to close due to snow  
4464,"From Washington to Long Island, the blizzard beats down the East Coast "
4465,Blizzard pounds the East Coast 
4466,U.S. says prepared for military solution against Islamic State in Syria 
4467,Michael Bloomberg may launch independent U.S. presidential bid: report 
4468,Snow blankets Washington D.C. in potentially record-setting storm  
4469,Iran's oil minister says OPEC's emergency meeting may hurt market  
4470,VW China Chief: 'volume isn't everything' in contest with GM 
4471,"Amid mounting bills, farmers forced to sell grain at low prices  "
4472,Court quashes obstruction charges against Ex-Penn State officials in Sandusky scandal  
4473,"Jeff Bezos' space company successfully re-flies, lands rocket  "
4474,Oil's whiplash above $30: dead cat bounce or double-bottom base?  
4475,Police shooting shuts down Las Vegas Strip 
4476,Viacom cuts Redstone pay due to reduced responsibilities; CEO pay rises  
4477,Trump in lead at 40.6 percent  
4478,"Five dead, two hurt in worst Canada school shooting in decades:  "
4479,California lethal injection plan spurs capital punishment fight 
4480, AIG to pursue spin-off of mortgage insurance unit:  
4481," Five people killed in Canada school shooting, two more in critical condition: PM Trudeau"
4482," FTC probes Turing over drug prices, Shkreli's lawyer says:  "
4483,Michigan restores some powers to Flint mayor amid water crisis 
4484,"Candidate Trump retweets 'White Genocide' account, drawing outrage:  "
4485,"Film Academy pledges to double membership of women, minorities by 2020 "
4486,"Investors look to Fed, earnings for direction next week "
4487, Oscar organizers pledge to double membership of women and minorities in film academy by 2020
4488,Monster winter storm bears down on Washington D.C. area
4489,Oscar nominee Rampling calls awards boycott racist toward whites 
4490,White House turns to Pentagon in major background checks overhaul 
4491,Democrats to demand restructuring mechanism for Puerto Rico: letter 
4492,U.S. strips five Russian honorary consuls of credentials 
4493, California gas leak spotlights shoddy regulation of aging storage wells:  
4494,"Storm dumps snow on Arkansas, expanding on way to Washington, D.C"
4495,"Forget the glut, oil enters irrational territory:  "
4496,"At least 42 migrants, including 17 children, drown when boats capsize off Greek islands: coastguard "
4497,A massive snowstorm is poised to wallop the U.S. East Coast. Find out more:  
4498,Leaky lifeboat: Weak U.S. corporate profits offer no rescue to sinking stocks  
4499,Oil rises 5 percent to above $30 as cold weather pushes demand  
4500,"China shares retreat, shrug off global stimulus hopes  "
4501,"Asia stocks rise as ECB soothes nervous markets, oil extends bounce  "
4502,Starbucks stock slips after profit forecast misses Street estimates  
4503,EPA official resigns over Flint water crisis  
4504,Yahoo to decide next strategic steps after quarterly earnings: sources  
4505,China shares try to rally on global stimulus hopes 
4506,China's vice president says no plan to devalue yuan: Bloomberg 
4507,U.S. appeals court declines to block Obama carbon emissions plan:  
4508,NYC Marathon organizers are sued over lottery to enter race:  
4509,U.S. East Coast girds for up to 2-1/2 feet of snow:  
4510,Former Oklahoma policeman sentenced to 263 years for raping four women:  
4511,Wall Street staged a modest rally as oil prices recorded their biggest gain this year:  
4512," Wall Street trims gains: Dow Jones, S&amp;P 500 close in the green"
4513,Michigan governor called to congressional hearing on Flint water crisis 
4514,"Will Smith shuns Oscars in diversity protest, Ruffalo to attend "
4515,Ranks of U.S. centenarians growing rapidly: report 
4516,Should the Pakistan teachers have shot back?  
4517,U.S. Mid-Atlantic braces for storm that may dump two feet of snow 
4518,Oil industry turns to women in hour of need
4519,Wall Street flat at open:  
4520,"Goldman-run funds most popular with Republican candidates, disclosures show "
4521,Asia stocks skid as crude fails to sustain bounce 
4522,"U.S. stocks set for a comeback, or another blow?  "
4523,Oil prices dip again as oversupply weighs on market  
4524,GM ignition-switch plaintiff retains criminal attorney mid-trial  
4525,Kinder Morgan swings to loss on $1.15 billion charge  
4526,Oil prices stabilise but market sentiment remains bearish  
4527,U.S. crude oil prices stabilize but market sentiment remains bearish 
4528,Texas executes inmate convicted of murdering female impersonator: official 
4529,The Exchange: Garry Kasparov forecasts bloody regime change in Russia.
4530,U.S. congressional committee subpoenas ex-drug CEO Shkreli:  
4531,S&amp;P 500 touches lowest level in nearly two years -  
4532,"Viacom cut pay for Redstone, CEO Dauman in 2015 "
4533,"Leonardo DiCaprio's award ""for his leadership in tackling the climate crisis"" at Davos"
4534,Man facing N.J. terrorism charges cited Islamic State: prosecutors 
4535,"Looking beyond the current market mayhem, find out what leaders at Davos have to say  "
4536,Cash probably won't exist in a decade according to this leader at Davos 
4537,"U.S. agencies say 2015 was the hottest year ever by the widest margin on record: 
"
4538, President Obama pledges support to Flint mayor over water disaster
4539,Obama does victory lap for car industry that looks different from what he hoped 
4540,Biden urges U.S. business in Davos to lean on anti-gay states:  
4541,'Affluenza' teen to drop fight against Mexico deportation: source 
4542,Oil plumbs new lows below $27 in unrelenting rout 
4543,Netflix swept up in market rout despite strong subscriber signups 
4544,"Political fallout from Flint, Michigan, water crisis spreads "
4545,Researchers find possible ninth planet beyond Neptune 
4546,News conference at the U.S. Conference of Mayors interrupted by silent protester:  
4547, U.S. stock indexes extend losses; Dow Jones falls more than 400 points
4548, Freed Washington Post journalist Jason Rezaian makes his first media appearance.  
4549,Suicide bombing in Afghan capital kills four people 
4550,President Obama faces immigration hurdles even if he wins at high court:  
4551," Billionaire green activist Steyer says not ready to back Clinton, open to Sanders  "
4552,Want to know what's going on in Davos? Our live coverage of WEF16 is here:  
4553," Billionaire activist Steyer says not yet ready to back Clinton, open to Sanders.  "
4554,Oil below $30 fans wipeout fears among U.S. shale survival artists 
4555,Groups want U.S. to adopt strong broadband privacy rules 
4556,Former U.S. VP candidate Palin endorses Trump with a 'hallelujah' 
4557,Pakistan Taliban kill at least 19 as they storm university 
4558,Insight: Electric vehicle sales fall far short of Obama goal 
4559,"China shares slip as oil slides, outweighing stimulus hopes "
4560,"Amidst drop in oil prices, U.S. Navy deploys 'Great Green Fleet'  "
4561,"Oil falls 2-3 percent on surplus worries, as U.S. drops toward $27  "
4562,Balance of Asia-Pacific military power shifting against U.S.: report  
4563,Asia stocks hit four-year trough as oil spirals lower  
4564,"China shares fall as oil slides, outweighing stimulus hopes  "
4565, KPMG withdraws audit opinions on CFTC over accounting error - documents  
4566,Oil prices fall further on glut worries; U.S. crude slumps below $28  
4567,EPA says it acted too slowly on Flint water crisis:  
4568,Ex-drug CEO Shkreli plans to replace lawyers:  
4569,IMF cuts global growth forecast as China slows 
4570,CDC issues guidelines for pregnant women during Zika outbreak:  
4571,Netflix shares rise after company adds more subscribers than expected:  $NFLX 
4572,EPA says response to Flint water crisis too slow 
4573,Wall Street sheds some of its early gains as U.S. crude prices fall:  
4574,Confidence among CEOs sags as China's slowdown spooks Davos 2016:   
4575,Biden pledges faster U.S. approval for cancer drug cocktails at Davos 2016 :  
4576,Texas AG says daily fantasy sports operators not legal in state 
4577,Immigration showdown slated at Supreme Court:  
4578,U.S. top court agrees to review Obama immigration action:  
4579,Emerging markets as chilly as the Davos mountains:  
4580,U.S. Supreme Court agrees to hear President Obama's bid to resurrect his immigration plan:  
4581,Shooting and bomb threats at nine schools in New Jersey: NBC
4582, Reports of bomb threats at nine schools in New Jersey - NBC
4583,Levinson's family 'desperate for answers' from White House 
4584,Children on Syrian refugee route could freeze to death: U.N. 
4585,Afghan forces fighting to hold off Taliban in three Helmand districts 
4586,Fire hits renovated Paris Ritz weeks before reopening 
4587,"Iran's Khamenei welcomes sanctions lift, warns of U.S. 'deceit' "
4588,"China's growth hits quarter-century low, raising hopes of more stimulus "
4589,"Fighting between Syrian army, Islamic State kills scores: monitoring group "
4590,The Eagles guitarist Glenn Frey dead at 67  
4591,China economic growth weakest in years; shares take heart on stimulus hopes  
4592," Goldman Sachs inks joint Mexico energy, infrastructure deal - source "
4593,"Oil stabilizes on strong China demand data, but looming Iran exports still weigh on market  "
4594,China Q4 growth weakest since 2009 as policy misstep fears grow  
4595, FIFA's Blatter is still being paid his salary despite ban from world soccer  
4596,"China fourth-quarter growth slows to 6.8 percent, weakest since 2009 "
4597,"Glenn Frey, founding member of rock band the Eagles, dead at 67 "
4598,"Glenn Frey, founding member of rock band The Eagles, dead at age 67: publicist"
4599,Jail to jihad: Indonesian prisons a breeding ground for militancy 
4600,China seen posting slowest economic growth in 25 years as policy risks grow 
4601,British lawmakers debate banning Trump after Muslim comments 
4602,U.S. military says captured soldiers were held at gunpoint:  
4603,"Spike Lee, Pinkett Smith boycott Oscars over all-white acting nominees "
4604,Banks drag on Europe; oil falls after Iran sanctions lifted:  
4605,"Iran boosts oil output, foreign firms eager for deals "
4606,Europe's 'last chance'
4607,Amec Foster Wheeler says CEO Brikho steps down:  
4608,Trump: UK lawmakers' debate an 'absurd waste of time':  
4609,Tennis authorities reject allegations that there's been a failure to deal with match-fixing:  
4610,"U.S. prisoners leave Iran, arrive in Germany, as Obama hails win for diplomacy:  "
4611,Attempted rebound in European stocks quickly fizzles:  
4612,"Oil prices rise, recovering from a 2003 low:  "
4613,Islamic State presses attack on government-held area in eastern Syria 
4614,Djokovic admits indirect fixing approach:  
4615,U.S. sailors held captive by Iran were held at gunpoint: U.S. military 
4616,Bernie Sanders goes on the offensive against front-runner Clinton:  
4617,"Saudi Arabia alarmed, in private, at Iran's sanctions relief "
4618,Islamic State battle turns Iraq's Ramadi into ghost town 
4619,Jason Rezaian and other U.S. prisoners arrive in Germany after Iran prisoner swap:  
4620,"As leaders gather, Oxfam suggests global inequality is at levels not seen in over a century:  "
4621,Volkswagen faces shareholder claims over emissions scandal 
4622,Apple European headquarters evacuated over security alert 
4623,Tennis racket? Match-fixing allegations hit the game as the Australian Open begins:  
4624,Worried about sub-$20 crude? Some sellers are already there 
4625,"Five starve, dozens more at risk, in Syria's besieged Madaya: U.N. "
4626,"End of Europe? Berlin, Brussels' shock tactic on migrants "
4627,Several wounded in Turkey as mortar shell strikes a school near Syria border: 
4628,Iraqi police confirm three U.S. citizens missing in Baghdad: 
4629,Bomb kills five soldiers in western Pakistan 
4630,"World tennis hit by match-fixing reports, authorities back integrity unit  "
4631,"Iran's Rouhani to visit Italy, France next week, first Europe trip after sanctions lifted "
4632,Asian shares drop to 2011 levels as oil slump intensifies  
4633,"As Xi heads into Middle East feud, China says aims for balance  "
4634,Oil slides to lowest since 2003 as Iran sanctions lifted  
4635,Sanders releases universal healthcare plan before Democratic debate  
4636,Thailand's ousted Shinawatra clan defies junta with publicity drive  
4637,Clinton goes on offense against Sanders at Democratic Debate:  
4638,Asian shares skid to 2011 levels as oil slump intensifies  
4639,Documents show match-fixing at top level of world tennis
4640, Democrats face off in last debate before Iowa caucuses.  
4641,Follow our live blog of the Democratic presidential debate.
4642,Documents show match-fixing at top level of world tennis: BBC/BuzzFeed 
4643,Asian shares near 2011 low as oil woes deepen 
4644,U.S. and EU firms warn of 'enormous' consequences if data pact talks fail 
4645,"Pope visits Rome synagogue, condemns violence in name of religion "
4646,"Car bomb in Yemeni port city kills four, injures others: witnesses "
4647,Many 'lost' voters say they have found their candidate in Trump 
4648,New York police say assailants chanted 'ISIS' while beating man 
4649,The story behind this photo of one very eager Trump supporter:  
4650,"Two killed, several injured in Florida storms "
4651,"Israel licks wounds as Iran sanctions end, looks to future U.S. aid "
4652,UK opposition leader invites Trump to visit London mosque 
4653,Arkansas governor wants Civil War icon separated from MLK holiday 
4654,Islamic State militants kidnap 400 civilians from Syria's Deir al-Zor city: monitor 
4655,Jakarta attack highlights jostle to lead Islamic State in Southeast Asia  
4656,Marine Corps lists identities of 12 missing in Hawaii chopper collision  
4657,Rouhani hails 'golden page' in Iran's history as sanctions lifted 
4658,"South China Sea? For Beijing, Taiwan is the No. 1 security issue  "
4659,"Taiwan opposition wins presidency, China warns against independence move  "
4660,Suicide bomber kills nine people in eastern Afghanistan: officials 
4661,Tightening Clinton-Sanders battle raises stakes for Democratic debate  
4662,"Six Canadians killed in Burkina Faso attack, PM Trudeau says  "
4663,Banks give back China investment quotas as clients bypass the middlemen  
4664,"Growing feud: Trump, Cruz escalate attacks on each other  "
4665,Jakarta attack highlights jostle to lead Islamic State in SE Asia 
4666,Obama declares emergency in Michigan over bad water - White House 
4667,Islamic State kills dozens in Syria's Deir al-Zor city 
4668,Bond King musical chairs: Gundlach replaces Gross on Barron's Roundtable 
4669,Merkel ally threatens legal action over refugee policy 
4670," In negotiating to free Americans in Iran, U.S. blinked on new sanctions "
4671,"FBI captures alleged 'Scream Robber', a Top 10 Most Wanted fugitive "
4672,Iran releases four Iranian-U.S. dual nationals in prisoner swap 
4673,"For better or worse, Bill Clinton not a big factor among U.S. voters - poll "
4674,Obama unveils wage insurance plan to spur job seekers 
4675,Offensive against Islamic State in Mosul unlikely in 2016: Iraqi Kurdish deputy PM  
4676,"China's economy grew by around 7 percent in 2015, services made up half of GDP: Premier "
4677,Zarif says sanctions on Iran will be lifted today  
4678,At least 20 dead in siege by suspected Islamists at Burkina Faso hotel  
4679,Zarif says sanctions on Iran will be lifted today: ISNA 
4680,Indonesia blocks radical websites after deadly militant attack in capital  
4681,China ties on the line as Taiwan votes for new president  
4682,"Oil plummets to $29 per barrel, dragging world stocks lower  "
4683,"U.S. issues travel alert over Zika virus in Latin America, Caribbean  "
4684,California residents vent frustrations over state's biggest gas leak 
4685,Singer Celine Dion's brother near death: newspaper  
4686,U.S. judge rejects bid for new trial for Boston Marathon bomber  
4687,High waves hamper search for Marines missing in Hawaii helicopter crash 
4688,Wal-Mart merges tech teams in online push  
4689,Lead developer quits bitcoin saying it 'has failed'  
4690," One person killed as gunshots resume at Burkina hotel, medical personnel taking wounded away from scene"
4691,People killed in Burkina hotel attack: foreign minister  
4692,Security forces in Burkina Faso are battling suspected Islamist fighters holding hostages in a hotel in the capital: 
4693,Syria tells U.N.: No one cares more about our people than us 
4694,Suspected Islamist gunmen hold hostages at hotel in Burkina capital 
4695, Telefonica eyes AT&amp;T's $10 billion Latin American TV assets - sources 
4696, Al Qaeda of Islamic Maghreb says it is responsible for Burkina Faso hotel attack: SITE Intelligence Group
4697, U.S. District judge rejects bid for new trial for convicted Boston Marathon bomber Dzhokhar Tsarnaev
4698,House opens inquiry into whether government doing enough to protect drug-dependent babies:   
4699,"North Korea says peace treaty, halt to exercises, would end nuclear tests "
4700,"After @specialreports investigation, House looks into deaths of drug-dependent newborns:  "
4701,Martin Luther King pictured in Air Force base shooting event flier 
4702,House opens inquiry into deaths of drug-dependent newborns 
4703,Wall Street hammered; S&amp;P 500 hits lowest since Oct 2014 
4704,"U.S. halts new coal leases on federal land, first review in decades "
4705,Sex toys and glitter not what Oreogon protesters expected -- but that's what they got:  
4706,"Sean Penn says Mexico is trying to put him in the crosshairs of ""El Chapo's"" cartel:  "
4707,Investigation faults U.S. Army lab's leaders over mistaken anthrax shipments 
4708,Spacewalk suspended after possible leak in U.S. astronaut's helmet 
4709,White House reviewing Pentagon report on closing Guantanamo prison 
4710,"Indonesian police kill one suspected militant, arrested two more after Jakarta attack:  "
4711,U.S. military discloses civilian casualties in Islamic State fight:  
4712,Tennessee couple claiming winning Powerball ticket appear on TODAYshow:  
4713,Israeli troops kill two Palestinians in Gaza stone-throwing clash 
4714,"Take a whirlwind tour of the highlights in Motor City.
"
4715,"Iran oil headed for India, Europe, with sanctions lifting: "
4716,GE to sell appliances business to China's Haier for $5.4 billion:  
4717,"Tattoos, faith and caste. Meet the Ramnamis with full body tattoos: 
"
4718,"U.S. retail sales, industrial output data point to softer growth "
4719,Nasdaq at its lowest since August:  
4720,Sean Penn shares 'regret' about El Chapo article in CBS interview 
4721,French identify another Paris attacker via DNA from body parts:  
4722," S&amp;P 500, Dow and Nasdaq futures fall over 2 percent"
4723,Tennessee couple claim winning ticket for U.S. Powerball jackpot: NBC 
4724,World stocks set for a third straight week of losses:  
4725,Chinese official expresses concern over missing Hong Kong bookseller 
4726,LIVE NOW: Tim Peake and Tim Kopra are preparing to leave the ISS for a spacewalk:  
4727," S&amp;P 500 and Dow futures down 1.7 percent, Nasdaq futures down 2 percent"
4728,UNICEF confirms severe malnutrition in Syria's besieged Madaya 
4729,"China seeks investment for disputed islands, to launch flights "
4730,The next NFL drama: Rams and Chargers negotiate to share L.A. stadium  
4731,"Asia stocks hit three and half year lows as oil, China worries take toll "
4732,Sacramento man indicted for lying about assisting militant group 
4733,GE to sell appliances business to Haier for $5.4 billion  
4734,"Indonesia arrests three after attack, search on for more jihadis  "
4735,Funding lifts Uber China unit's valuation to $8 billion but profits absent  
4736,"Asia stocks hit 3-1/2-year lows as oil, China worries take toll  "
4737,"Friendly no more: Trump, Cruz erupt in bitter fight at Republican debate  "
4738,U.S. justices consider taking Obama appeal on immigration action 
4739,Amazon expands logistics reach with move into ocean shipping  
4740, China buys first U.S. crude cargo since end of export ban - source  
4741,"Buffett expands oil bet, buys more Phillips 66  "
4742, Jeb Bush went toe to toe with Trump over his desire to ban all Muslims from the U.S.  
4743,"Singer Celine Dion's husband, René Angélil, dies after cancer battle  "
4744,Chicago releases videos of police shooting of black teen 
4745,Indonesia says attack underlines emergence of Islamic State threat 
4746,GOPdebate: Question about Hillary Clinton as an 'enabler of sexual misconduct' draws huge social backlash. 
4747,Candidates have taken the stage for the GOPdebate. Live coverage here 
4748,Winners of $1.6 billion Powerball jackpot still officially unknown 
4749,"Trump, Cruz tensions may provide liveliest Republican debate yet "
4750,Planned Parenthood files U.S. lawsuit against group behind secret videos 
4751,"René Angélil, husband of singer Celine Dion, dies at the age of 73:  "
4752,"Celine Dion's husband, René Angélil, dies after battle with cancer "
4753," There are another 34 detainees at Guantanamo Bay approved for transfer, need 'right place, right conditions': White House"
4754,Judge rules video of Chicago police shooting can be released:  
4755,"Pentagon says U.S. sailors held by Iran had made ""navigational error"" into Iranian waters:  "
4756,Twitter reacts to lack of diversity in Oscars Nominations with #OscarsSoWhite:  
4757,Planned Parenthood files lawsuit against group behind secret videos 
4758,"Twitter reacts to news of film villain, fan hero Alan Rickman's death:  "
4759, Planned Parenthood files federal lawsuit against people behind video campaign
4760,How an Indonesian cafe owner turned toward jihad:  
4761,Nigeria to launch new investigation of 2014 kidnap of Chibok girls by Boko Haram:  
4762,Actors of color were shut out from Oscar Nominations for the second straight year:  
4763,"Lucky Powerball winners are in Tennessee, California and Florida:  "
4764,Nigeria to launch new investigation of 2014 kidnap of Chibok girls 
4765, Image captures first look at Islamic State Jakarta gunman.  
4766, Nigeria's president orders investigation into kidnap of 219 schoolgirls by Boko Haram in 2014: statement
4767,"Police say Jakarta attack mastermind wanted to be Southeast Asia ""leader"" of Islamic State:  "
4768,U.S. sends 10 Yemeni Guantanamo detainees to Oman:  
4769,Powerball jackpot to be split between holders of three tickets sold in three states:  
4770,"Behind Islamic State attack on Indonesia, homegrown jihadi intellectual Bahrun Naim:  "
4771,#OscarsSoWhite quickly revived on Twitter following Oscar nominations:  
4772,Islamic State attacks Jakarta in first strike at Indonesia:  
4773,"Anxious phone calls, tense moments before Iran's Supreme Leader okayed sailors' release:  "
4774,The brazenness of the Jakarta attacks suggest a new brand of militancy in Indonesia:  
4775,Germany offers cash reward for leads on sex attacks in Cologne 
4776,A look back at the life and career of Britsh actor Alan Rickman:  
4777, Islamic State officially claims Jakarta attacks: statement
4778,Indonesia blames Islamic State for attack by suicide bombers and gunmen in Jakarta:  
4779, New explosions heard in central Jakarta: Kompas TV
4780,Watch the Oscar nomination announcements
4781,First UK rate rise call pushed to third quarter; EU future economic concern - Reuters  
4782,Oil price plunge throws share markets and heavily commodity-dependent currencies a beating:  
4783, Bank of England policymakers vote 8-1 to hold rates at 0.5 percent
4784,Israel sees Palestinian attacks 'waning'; one killed in West Bank 
4785, Jakarta police chief says Islamic State ‘definitely’ behind attack. More:  
4786,Seven people detained in connection with Istanbul bombing: Turkish minister 
4787,Winning numbers selected in U.S. Powerball lottery drawing  
4788,"Truck bomb attack by Kurdish militants kills 6, wounds 39 in southeast Turkey "
4789,"Four suspected attackers dead in Jakarta, area being secured: police:  "
4790,Fate of Florida death row inmates in limbo after U.S. Supreme Court ruling  
4791,Blasts in Indonesian capital; at least six dead -  
4792,Winning $1.6 billion Powerball tickets sold in three states: lottery officials  
4793,Asian shares skid as Brent crude plumbs 12-year lows  
4794,California lottery says it has a Powerball winner  
4795,"Accused Colorado clinic shooter intends to plead guilty, expects execution: report "
4796,Obama to offer in budget to extend deadline for Medicaid expansion 
4797,California lottery says it has a winner in $1.6 billion Powerball jackpot 
4798,"GE moving headquarters to Boston for tech talent, tax cut  "
4799,"Blasts, gunfight in Indonesian capital; at least three dead "
4800,U.S. shares tumble; Brent crude slips below $30  
4801,Hollywood's Sean Penn lied about 'Chapo' trafficking claim: lawyer  
4802,Iran frees U.S. sailors with start of nuclear deal in sight 
4803,"South Korea, China defense officials to discuss North Korea test: Yonhap "
4804,Bid to mine more coal on U.S. federal lands tests Obama's green agenda 
4805,Legionnaires' spike in Michigan county dealing with water crisis:  
4806,"In 'red state' tour, Obama talks with worried Nebraska mom "
4807,"U.S. targets money laundering in all-cash home sales in Miami, Manhattan "
4808,"Finland's ""Soldiers of Odin"" blame ""Islamist intruders"" for increase in crime:  "
4809,"Donald Trump was not in the room during the SOTU, but he was a looming presence:  "
4810,Steven Avery of Making a Murderer case wants out on bond:  
4811,Judge leaning toward sealing some evidence in the Cosby sex suit:  
4812,The St. Louis Rams are headed to Los Angeles: 
4813,"Who are Finland's ""Soldiers of Odin""?  "
4814,GE to move headquarters to Boston from Connecticut 
4815,"""El Chapo's"" lawyer has a thing or two to say about that interview with Sean Penn:  "
4816,Powerball mania takes over Twitter:  
4817,Iran frees U.S. sailors swiftly as diplomacy smoothes waters:  
4818, Istanbul suicide bomber entered Turkey as a migrant: Turkish PM
4819, Four people detained in connection with Istanbul bombing: Turkish PM
4820,China arrests its most prominent woman rights lawyer for subversion:  
4821, El Chapo lawyer says Sean Penn should testify about his Rolling Stone article.
4822, Kerry thanks Iran for cooperation in release of 10 Navy sailors. 
4823, Kim Davis attends President Obama's final State of the Union address.  
4824,Anti-immigrant 'Soldiers of Odin' raise concern in Finland 
4825, Iran releases 10 U.S. sailors after holding them overnight.  
4826,Stock futures rise on China trade data surprise:  
4827,"Powerball hits $1.5 billion, largest-ever lottery jackpot for one winner -  "
4828,Europe turns to Morocco in Paris attacks investigation 
4829,Suicide bomber kills at least 15 outside Pakistan polio centre:  
4830,Iran releases U.S. sailors after brief detention:  
4831, German foreign ministry spokeswoman says ten Germans were killed in Istanbul suicide bombing
4832,Iran released U.S. sailors in international waters:  
4833,Pride in North Korea nuclear tests eroded by daily grind 
4834,FIFA fires Secretary General Valcke:  
4835, Iran's Revolutionary Guard says has released detained U.S. sailors - report
4836,Moscow confirms Russians detained in Turkey over Islamic State links: RIA  
4837,Iran's Guards say U.S. sailors will probably be released: Tasnim  
4838,Belgium identifies three Paris attack plot safe houses  
4839,Turkey detains three Russians suspected of Islamic State ties after Istanbul bomb: media 
4840,"China Dec. exports, imports fall much less than expected after yuan slides  "
4841,Oil's slide below $30 sends shockwaves far and wide  
4842,"Iran's Revolutionary Guards question U.S. sailors, dismiss talk of prompt release  "
4843,South Korea fires warning shots at suspected drone near border: media 
4844,"Suspected suicide blast kills at least 14, injures 20 near Pakistan polio center "
4845,Reports of U.S. sailors' prompt release is speculation: Iran's Revolutionary Guards 
4846,Iran holds 10 American sailors; U.S. expects their prompt return  
4847,Crude oil rises for first time in eight days after U.S. stocks fall  
4848,Asia stocks cheered by China trade surprise  
4849,St. Louis Rams green-lit for move to Los Angeles  
4850,South Carolina Gov. Nikki Haley's SOTU response was praised by both sides of politics. 
4851,"Obama knocks Republicans for anti-Muslim rhetoric, seeks to set 2016 tone "
4852,"Suicide bomber kills 10 people, mainly Germans, in Istanbul  "
4853,President Obama's final State of the Union address 
4854,Paul Ryan was the focus of many social media jeers during Obama's SOTU speech over a perceived lack of applause. 
4855,"""Gun"" appeared only once in prepared SOTU text. Unofficial word count: 5,438 words versus 6,776 last year "
4856,U.S. House backs broader N.Korea sanctions; South Korea calls on China 
4857,Obama deviated from his prepared SOTU text to insert a reference to the herion epidemic. 
4858,St. Louis Rams approved for relocation to Los Angeles 
4859,Watch President Obama's last State of the Union address at Reuters Live
4860,The First Lady has entered the chamber. Keep up with the latest SOTU developments here: 
4861,"As relations thaw, some Iranian prisoners in U.S. hope for early release:  "
4862,"  NFL owners approve St. Louis Rams relocation to L.A., give San Diego Chargers option to join them."
4863,"Fearing third escape, prison guards watch Mexico drug boss Chapo 24/7 "
4864,Majority of Americans support next president pushing tighter gun laws 
4865,Iran holds 10 U.S. sailors; White House expects prompt return 
4866,U.N. war crimes investigators gathering testimony from starving Syrian town 
4867,Iran says it will return U.S. Navy sailors early Wednesday morning Gulf time: U.S. official  
4868,"House of Representatives backs broader North Korea sanctions, after nuclear test "
4869, U.S. House of Representatives approves legislation to broaden sanctions against North Korea
4870,Pentagon says two Navy boats in Iranian custody 
4871,NFL panel recommends Carson for proposed L.A. stadium:  
4872,White House seeking the return of Navy personnel in Iranian custody: 
4873,MORE: Iran has two U.S. Navy boats in custody and has told the U.S. the crew will be returned promptly: U.S. official
4874,Looking ahead at Obama's final SOTU:  
4875," White House says is working to resolve situation with Navy boats in Iranian custody, wants personnel returned to normal deployment"
4876,NFL panel recommends Carson over Inglewood for proposed L.A. stadium 
4877,New York jury hears claim GM concealed ignition switch defect 
4878,"NFL committee appears to favor Carson plan backed by San Diego Chargers, Oakland Raiders over St. Louis Rams plan."
4879,NFL poised for L.A. move after 20 years of hard bargaining with cities. 
4880,Obama voices regret for failing to unite Washington as he prepares for State of the Union:  
4881,Rupert Murdoch's engagement to Jerry Hall sparks plenty of social media snark:  
4882,Supreme Court strikes down Florida death sentence process 
4883,"""El Chapo"" tried to trademark his name before he broke out of jail:  "
4884,The Powerball jackpot is the largest-ever U.S. lottery prize at $1.5 billion:  
4885,Republican Rubio authors Senate bill to curb Cuban immigration benefits 
4886,The 'heartbreaking scenes' aid workers witnessed in the starving Syrian town of Madaya:  
4887,John Edwards among lawyers vying for lead role in Volkswagen suit:  
4888,Oil slump nears $30 a barrel mark on unabated output 
4889,Fears of illiberal Central Europe axis may be overblown 
4890,Media mogul Rupert Murdoch and former supermodel Jerry Hall plan to tie the knot:  
4891,The last of five teens accused of raping woman in Brooklyn playground taken into custody:   
4892,"A look at the day around the world, in   "
4893,Mexican kingpin 'Chapo' tried to trademark his name -local TV 
4894,Most victims of Istanbul suicide attack were German tourists:  
4895,"Four teens charged in New York gang rape, fifth is sought "
4896," Powerball payout hits $1.5 billion, world's largest ever for a single winner"
4897, Cook County Jail in Chicago on lockdown after 18 percent of guard shift absent: local media
4898,Did North Korea fake its sub-launched missile test?  
4899,Rupert Murdoch announces his engagement to former supermodel Jerry Hall:  
4900, Images from the scene after a suicide blast kills at least 10 people.  
4901,'Affluenza' mom expected to be released from jail:  
4902,Turkey's prime minister says suspected bomber is a foreign member of Islamic State. 
4903,"Shares, oil recover as Europe shrugs off China money market surge "
4904,Billionaire Lasry's fund not reporting asset levels:  
4905,"Israeli soldiers kill two Palestinians, one an alleged stabber "
4906,Erdogan says Syrian suicide bomber thought to be responsible for Istanbul attack:  
4907,Mother of Texas 'affluenza' teen expected to be released from jail 
4908,"Biden says he's not surprised Sanders ties Clinton in Iowa, NH, polls "
4909, Most of those killed in Istanbul blast were German citizens - Turkish officials
4910,"Sanctions impact on Russia to be longer term, U.S. says "
4911,"At least 51 killed in attacks in Iraqi capital, eastern town "
4912,Oil steadies below $32 as investors book profits:  
4913,"Madaya, Syria residents ""skinny, tired, severely distressed"" WHO official tells Reuters  "
4914,Blast in Istanbul tourist district kills at least 10 people:  
